,node_num,edge_num,all2all,all_steps_seen_in_forward,ratio_of_all_steps_seen_to_all2all,nice_score,avg_acc_less_than_50
advent,31,46,532,532,1.0,0.010752688172043012,0.3628017640537209
balances,11,18,75,75,1.0,0.32727272727272727,0.3628017640537209
ballyhoo,14,28,158,113,0.7151898734177216,0.43956043956043955,0.3628017640537209
cutthroat,22,43,342,231,0.6754385964912281,0.4329004329004329,0.3628017640537209
deephome,17,30,136,136,1.0,0.45588235294117646,0.3628017640537209
detective,26,34,325,325,1.0,0.26153846153846155,0.3628017640537209
enchanter,21,39,210,210,1.0,0.48095238095238096,0.3628017640537209
hhgg,8,9,28,28,1.0,0.32142857142857145,0.3628017640537209
inhumane,21,41,246,210,0.8536585365853658,0.36666666666666664,0.3628017640537209
karn,19,35,261,216,0.8275862068965517,0.39766081871345027,0.3628017640537209
loose,8,14,28,28,1.0,0.4642857142857143,0.3628017640537209
lurking,10,17,45,45,1.0,0.4444444444444444,0.3628017640537209
murdac,30,52,436,434,0.9954128440366973,0.3586206896551724,0.3628017640537209
night,20,38,190,190,1.0,0.3157894736842105,0.3628017640537209
omniquest,29,59,1314,406,0.3089802130898021,0.29802955665024633,0.3628017640537209
plundered,10,14,45,45,1.0,0.4888888888888889,0.3628017640537209
seastalker,10,15,45,45,1.0,0.37777777777777777,0.3628017640537209
sorcerer,15,25,105,105,1.0,0.3333333333333333,0.3628017640537209
spellbrkr,15,23,105,105,1.0,0.3047619047619048,0.3628017640537209
trinity,10,10,45,45,1.0,0.15555555555555556,0.3628017640537209
tryst205,9,15,36,36,1.0,0.4444444444444444,0.3628017640537209
zenon,13,24,78,78,1.0,0.4230769230769231,0.3628017640537209
zork3,23,44,352,306,0.8693181818181818,0.44081632653061226,0.3628017640537209
