,node_num,edge_num,all2all,all_steps_seen_in_forward,ratio_of_all_steps_seen_to_all2all,nice_score,avg_acc_more_than_50
905,5,7,10,10,1.0,1.0,0.7939493982682838
adventureland,18,34,181,181,1.0,0.5816993464052288,0.7939493982682838
afflicted,10,18,45,45,1.0,0.9777777777777777,0.7939493982682838
anchor,13,22,90,78,0.8666666666666667,0.8076923076923077,0.7939493982682838
awaken,14,26,212,212,1.0,0.8351648351648352,0.7939493982682838
curses,14,26,91,91,1.0,0.5164835164835165,0.7939493982682838
dragon,14,26,91,91,1.0,0.9010989010989011,0.7939493982682838
enter,2,2,1,1,1.0,1.0,0.7939493982682838
gold,11,17,55,55,1.0,0.7636363636363637,0.7939493982682838
hollywood,8,14,28,28,1.0,0.9285714285714286,0.7939493982682838
huntdark,10,9,45,45,1.0,0.5555555555555556,0.7939493982682838
infidel,13,26,126,78,0.6190476190476191,0.6666666666666666,0.7939493982682838
jewel,16,30,120,120,1.0,0.8,0.7939493982682838
library,7,12,21,21,1.0,0.8095238095238095,0.7939493982682838
lostpig,6,9,15,15,1.0,0.8666666666666667,0.7939493982682838
ludicorp,22,43,231,231,1.0,0.7878787878787878,0.7939493982682838
moonlit,4,6,6,6,1.0,0.8333333333333334,0.7939493982682838
partyfoul,4,9,14,14,1.0,1.0,0.7939493982682838
pentari,18,30,153,153,1.0,0.5228758169934641,0.7939493982682838
planetfall,21,37,210,210,1.0,0.8142857142857143,0.7939493982682838
reverb,12,21,74,74,1.0,0.6666666666666666,0.7939493982682838
sherlock,8,12,28,28,1.0,0.8928571428571429,0.7939493982682838
snacktime,4,6,6,6,1.0,1.0,0.7939493982682838
spirit,15,27,105,105,1.0,0.6761904761904762,0.7939493982682838
temple,10,17,45,45,1.0,0.7111111111111111,0.7939493982682838
wishbringer,18,34,153,153,1.0,0.8169934640522876,0.7939493982682838
yomomma,8,18,64,31,0.484375,0.7857142857142857,0.7939493982682838
zork1,19,33,181,177,0.9779005524861878,0.7251461988304093,0.7939493982682838
zork2,22,42,507,357,0.7041420118343196,0.5930735930735931,0.7939493982682838
ztuu,11,18,55,55,1.0,0.9818181818181818,0.7939493982682838
