,node_num,edge_num,all2all,all_steps_seen_in_forward,ratio_of_all_steps_seen_to_all2all,nice_score,avg_acc_less_than_50
advent,31,46,692,692,1.0,0.010752688172043012,0.3628017640537209
balances,11,18,104,96,0.9230769230769231,0.32727272727272727,0.3628017640537209
ballyhoo,14,28,323,239,0.739938080495356,0.43956043956043955,0.3628017640537209
cutthroat,22,43,630,402,0.638095238095238,0.4329004329004329,0.3628017640537209
deephome,17,30,192,182,0.9479166666666666,0.45588235294117646,0.3628017640537209
detective,26,34,338,334,0.9881656804733728,0.26153846153846155,0.3628017640537209
enchanter,21,39,400,217,0.5425,0.48095238095238096,0.3628017640537209
hhgg,8,9,30,29,0.9666666666666667,0.32142857142857145,0.3628017640537209
inhumane,21,41,572,311,0.5437062937062938,0.36666666666666664,0.3628017640537209
karn,19,35,425,339,0.7976470588235294,0.39766081871345027,0.3628017640537209
loose,8,14,56,56,1.0,0.4642857142857143,0.3628017640537209
lurking,10,17,91,67,0.7362637362637363,0.4444444444444444,0.3628017640537209
murdac,30,52,732,537,0.7336065573770492,0.3586206896551724,0.3628017640537209
night,20,38,380,380,1.0,0.3157894736842105,0.3628017640537209
omniquest,29,59,1734,536,0.3091118800461361,0.29802955665024633,0.3628017640537209
plundered,10,14,60,60,1.0,0.4888888888888889,0.3628017640537209
seastalker,10,15,53,50,0.9433962264150944,0.37777777777777777,0.3628017640537209
sorcerer,15,25,137,120,0.8759124087591241,0.3333333333333333,0.3628017640537209
spellbrkr,15,23,137,120,0.8759124087591241,0.3047619047619048,0.3628017640537209
trinity,10,10,46,45,0.9782608695652174,0.15555555555555556,0.3628017640537209
tryst205,9,15,64,64,1.0,0.4444444444444444,0.3628017640537209
zenon,13,24,156,83,0.532051282051282,0.4230769230769231,0.3628017640537209
zork3,23,44,764,596,0.7801047120418848,0.44081632653061226,0.3628017640537209
