,node_num,edge_num,all2all,all_steps_seen_in_forward,ratio_of_all_steps_seen_to_all2all,nice_score,avg_acc_more_than_50
905,5,7,16,11,0.6875,1.0,0.7939493982682838
adventureland,18,34,497,425,0.8551307847082495,0.5816993464052288,0.7939493982682838
afflicted,10,18,90,90,1.0,0.9777777777777777,0.7939493982682838
anchor,13,22,139,95,0.6834532374100719,0.8076923076923077,0.7939493982682838
awaken,14,26,352,332,0.9431818181818182,0.8351648351648352,0.7939493982682838
curses,14,26,182,182,1.0,0.5164835164835165,0.7939493982682838
dragon,14,26,182,106,0.5824175824175825,0.9010989010989011,0.7939493982682838
enter,2,2,2,2,1.0,1.0,0.7939493982682838
gold,11,17,83,83,1.0,0.7636363636363637,0.7939493982682838
hollywood,8,14,56,43,0.7678571428571429,0.9285714285714286,0.7939493982682838
huntdark,10,9,45,45,1.0,0.5555555555555556,0.7939493982682838
infidel,13,26,252,114,0.4523809523809524,0.6666666666666666,0.7939493982682838
jewel,16,30,240,166,0.6916666666666667,0.8,0.7939493982682838
library,7,12,42,42,1.0,0.8095238095238095,0.7939493982682838
lostpig,6,9,25,16,0.64,0.8666666666666667,0.7939493982682838
ludicorp,22,43,462,351,0.7597402597402597,0.7878787878787878,0.7939493982682838
moonlit,4,6,12,9,0.75,0.8333333333333334,0.7939493982682838
partyfoul,4,9,30,24,0.8,1.0,0.7939493982682838
pentari,18,30,212,208,0.9811320754716981,0.5228758169934641,0.7939493982682838
planetfall,21,37,296,246,0.831081081081081,0.8142857142857143,0.7939493982682838
reverb,12,21,141,129,0.9148936170212766,0.6666666666666666,0.7939493982682838
sherlock,8,12,43,43,1.0,0.8928571428571429,0.7939493982682838
snacktime,4,6,12,12,1.0,1.0,0.7939493982682838
spirit,15,27,196,183,0.9336734693877551,0.6761904761904762,0.7939493982682838
temple,10,17,81,51,0.6296296296296297,0.7111111111111111,0.7939493982682838
wishbringer,18,34,306,181,0.5915032679738562,0.8169934640522876,0.7939493982682838
yomomma,8,18,116,64,0.5517241379310345,0.7857142857142857,0.7939493982682838
zork1,19,33,378,332,0.8783068783068783,0.7251461988304093,0.7939493982682838
zork2,22,42,782,515,0.6585677749360613,0.5930735930735931,0.7939493982682838
ztuu,11,18,91,91,1.0,0.9818181818181818,0.7939493982682838
